,x,y,m
677,-155.0,-48.0,4098132.0
678,-155.0,-47.0,1489725.0
679,-155.0,-46.0,3270960.0
680,-155.0,-45.0,2811954.0
681,-155.0,-44.0,5232119.0
682,-155.0,-43.0,5466480.0
683,-155.0,-42.0,5412890.0
684,-155.0,-41.0,3883712.0
685,-155.0,-40.0,4286975.0
686,-155.0,-39.0,5058318.0
687,-155.0,-38.0,3877657.0
688,-155.0,-37.0,2981858.0
689,-155.0,-36.0,1384910.0
690,-155.0,-35.0,8584062.0
691,-155.0,-34.0,1285281.0
692,-155.0,-33.0,7374757.0
693,-155.0,-32.0,4677901.0
694,-155.0,-31.0,5595304.0
695,-155.0,-30.0,6888614.0
696,-155.0,-29.0,5604007.0
697,-155.0,-28.0,6908748.0
698,-155.0,-27.0,4450290.0
699,-155.0,-26.0,3904350.0
700,-155.0,-25.0,4807371.0
701,-155.0,-24.0,6293417.0
702,-155.0,-23.0,5807149.0
703,-155.0,-22.0,3792335.0
704,-155.0,-21.0,5818939.0
705,-155.0,-20.0,6760979.0
706,-155.0,-19.0,7718408.0
707,-155.0,-18.0,1282831.0
708,-155.0,-17.0,9608318.0
709,-155.0,-16.0,10973149.0
710,-155.0,-15.0,4097420.0
711,-155.0,-14.0,5735598.0
712,-155.0,-13.0,1304714.0
713,-155.0,-12.0,2897178.0
714,-155.0,-11.0,5744129.0
715,-155.0,-10.0,5473394.0
716,-155.0,-9.0,8981209.0
717,-155.0,-8.0,4309803.0
718,-155.0,-7.0,7546404.0
719,-155.0,-6.0,5718340.0
720,-155.0,-5.0,3904042.0
721,-155.0,-4.0,8155625.0
722,-155.0,-3.0,4414752.0
723,-155.0,-2.0,4547061.0
724,-155.0,-1.0,5123515.0
725,-155.0,0.0,6777348.0
726,-155.0,1.0,4929871.0
727,-155.0,2.0,6477116.0
728,-155.0,3.0,6584531.0
729,-155.0,4.0,6209967.0
730,-155.0,5.0,8809487.0
731,-155.0,6.0,9056206.0
732,-155.0,7.0,13359096.0
733,-155.0,8.0,10350597.0
734,-155.0,9.0,11588601.0
735,-155.0,10.0,7335987.0
736,-155.0,11.0,7668151.0
737,-155.0,12.0,8081251.0
738,-155.0,13.0,7992439.0
739,-155.0,14.0,2921578.0
740,-155.0,15.0,4489915.0
741,-155.0,16.0,10804242.0
742,-155.0,17.0,7244338.0
743,-155.0,18.0,8557771.0
744,-155.0,19.0,6144612.0
745,-155.0,20.0,6459925.0
746,-155.0,21.0,7718068.0
747,-155.0,22.0,2927259.0
748,-155.0,23.0,2535706.0
749,-155.0,24.0,7386244.0
750,-155.0,25.0,5323900.0
751,-155.0,26.0,1318414.0
752,-155.0,27.0,5112037.0
753,-155.0,28.0,8789701.0
754,-155.0,29.0,6895048.0
755,-155.0,30.0,7956772.0
756,-155.0,31.0,5972011.0
757,-155.0,32.0,2784401.0
758,-155.0,33.0,5797835.0
759,-155.0,34.0,1384039.0
760,-155.0,35.0,7445246.0
761,-155.0,36.0,7456711.0
762,-155.0,37.0,5979641.0
763,-155.0,38.0,3053149.0
764,-155.0,39.0,4614917.0
765,-155.0,40.0,5716104.0
766,-155.0,41.0,3981251.0
767,-155.0,42.0,7852572.0
768,-155.0,43.0,2511192.0
769,-155.0,44.0,8974944.0
770,-155.0,45.0,5522162.0
771,-155.0,47.0,7855106.0
772,-155.0,48.0,2968631.0
773,-155.0,50.0,7893814.0
774,-155.0,51.0,1662113.0
775,-155.0,52.0,5127486.0
776,-155.0,53.0,1219873.0
777,-155.0,54.0,972753.0
778,-155.0,55.0,2873162.0
779,-155.0,57.0,1866366.0
780,-154.0,-58.0,2582893.0
781,-154.0,-57.0,1966038.0
782,-154.0,-56.0,4918708.0
783,-154.0,-55.0,2403473.0
784,-154.0,-54.0,4917160.0
785,-154.0,-53.0,1052455.0
786,-154.0,-52.0,3823909.0
787,-154.0,-51.0,1417642.0
788,-154.0,-50.0,3447651.0
789,-154.0,-49.0,1243926.0
790,-154.0,-48.0,4313947.0
791,-154.0,-47.0,4141941.0
792,-154.0,-46.0,8025994.0
793,-154.0,-45.0,4206210.0
794,-154.0,-44.0,958139.0
795,-154.0,-43.0,3414472.0
796,-154.0,-42.0,1770305.0
797,-154.0,-41.0,5193517.0
