,id,link,sfr,mass_stars,mass_total,mass_gas,posx,posy,posz,metallicity_stars,metallicity_gas,m_gas_sfr_weighted
350,83781,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83781,1.88002,1.30856,101.066,11.6568,22774.6,26816.8,26816.8,0.0196123,0.0240607,0.0292055
351,83782,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83782,0.97068,1.5245,11.8572,0.491586,22836.1,26870.6,26870.6,0.0238506,0.0214405,0.0260089
352,83783,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83783,0.23311,0.052753,1.44502,0.229005,22741.9,26808.9,26808.9,0.00699658,0.0064628,0.0139298
353,83784,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83784,0.00912412,0.007015,1.49799,0.129953,22775.7,26719.7,26719.7,0.00302177,0.0027074,0.00252589
354,83918,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83918,0.0493657,3.44462,120.556,6.11643,27099.6,9413.71,9413.71,0.0242408,0.00636785,0.00455409
355,83919,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83919,0.0958171,0.061009,7.29634,0.67094,27240.6,9527.77,9527.77,0.00862025,0.00559383,0.00872033
356,83920,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83920,0.0126824,0.00699,3.2922,0.179321,27020.6,9689.93,9689.93,0.00430321,0.004086,0.00473302
357,83921,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83921,0.0195756,0.012514,2.38012,0.110793,27264.0,9621.62,9621.62,0.00792248,0.00706838,0.0114607
358,83927,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83927,0.000586393,0.0,0.027004,0.027004,27035.8,9415.6,9415.6,0.0,0.0,0.00372495
359,83933,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83933,0.0131681,4.8e-05,0.015188,0.015139,27076.8,9431.48,9431.48,0.0,0.0,0.00592002
360,83955,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/83955,0.00292752,0.000184,0.005609,0.005425,27071.0,9431.82,9431.82,0.00569827,0.0065906,0.00649236
361,84037,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84037,0.0678423,4.39368,125.429,6.33013,22692.8,15699.0,15699.0,0.0231696,0.0186855,0.0182907
362,84038,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84038,0.0593379,0.051531,1.90954,0.15035,22691.7,15616.2,15616.2,0.00994197,0.0096458,0.0134011
363,84039,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84039,0.252485,0.137361,0.151907,0.013809,22692.4,15703.5,15703.5,0.0472489,0.0596271,0.0647573
364,84040,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84040,0.00036131,0.001474,0.891352,0.035396,22668.7,15691.1,15691.1,0.00249482,0.00362328,0.00353833
365,84199,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84199,0.160969,3.14123,110.292,10.9069,26039.8,20583.7,20583.7,0.0231983,0.0115182,0.00811584
366,84200,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84200,0.205189,0.135579,4.27724,0.485738,25882.8,20600.6,20600.6,0.0116316,0.013794,0.0144679
367,84303,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84303,2.34719,1.80227,59.2227,7.62426,16351.7,31111.7,31111.7,0.0217014,0.0216726,0.0295896
368,84304,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84304,0.96317,0.547461,17.5507,1.53431,16375.5,30798.8,30798.8,0.0168267,0.0195665,0.0147768
369,84305,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84305,3.3044,0.779725,5.4589,0.894478,16335.1,31119.3,31119.3,0.0188532,0.0176757,0.018803
370,84306,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84306,0.155052,0.102858,8.34032,0.110475,16056.5,31078.8,31078.8,0.0125666,0.0124376,0.0181194
371,84307,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84307,0.491726,0.097243,2.96387,0.389732,16410.6,31244.9,31244.9,0.0110432,0.0097708,0.0118178
372,84331,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84331,0.000739306,0.000851,0.008678,0.007827,16439.4,31005.6,31005.6,0.0055042,0.00721472,0.00800484
373,84413,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84413,1.55062,4.00243,107.627,7.97095,20254.6,2892.91,2892.91,0.0212055,0.0199731,0.0166288
374,84414,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84414,0.00163822,0.001809,1.89257,0.009176,20191.1,2837.18,2837.18,0.0024853,0.00382079,0.00527538
375,84415,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84415,0.710837,0.182765,0.237951,0.052727,20256.4,2902.08,2902.08,0.0425351,0.0558588,0.0510471
376,84416,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84416,0.0316672,0.012591,1.04589,0.068903,20345.6,2881.05,2881.05,0.00700542,0.00758081,0.0103545
377,84417,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84417,0.414626,0.151259,0.172555,0.020558,20255.5,2897.28,2897.28,0.0428912,0.0519803,0.053713
378,84418,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84418,0.776735,0.128683,0.175896,0.046721,20240.9,2895.4,2895.4,0.0385446,0.0533664,0.0575722
379,84419,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84419,0.000573582,0.003257,0.946478,0.009562,20227.9,2934.7,2934.7,0.00401026,0.00445385,0.00460447
380,84420,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84420,0.535522,0.095614,0.121433,0.025081,20259.1,2906.21,2906.21,0.0346056,0.0378796,0.0411357
381,84421,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84421,0.812067,0.026257,0.120072,0.093323,20268.9,2873.03,2873.03,0.0160581,0.0206766,0.0218612
382,84424,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84424,0.795228,0.01903,0.1015,0.08247,20248.2,2880.98,2880.98,0.0136325,0.0164373,0.0160365
383,84425,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84425,0.236496,0.048389,0.073034,0.0244,20276.0,2869.44,2869.44,0.02543,0.0486883,0.0532307
384,84429,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84429,0.295355,0.00949,0.061521,0.052031,20270.7,2877.09,2877.09,0.0120401,0.0142889,0.0150621
385,84431,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84431,0.102499,0.002423,0.048935,0.046512,20260.4,2864.99,2864.99,0.00985613,0.0095914,0.0106645
386,84433,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84433,0.210542,0.006512,0.038001,0.03149,20255.1,2879.54,2879.54,0.014855,0.0154335,0.0145726
387,84436,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84436,0.108763,0.011857,0.029154,0.017298,20240.6,2899.74,2899.74,0.0172728,0.0239335,0.0242805
388,84437,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/84437,0.110144,0.002397,0.030992,0.02835,20263.8,2876.82,2876.82,0.0130448,0.0137279,0.0143637
