,id,link,sfr,mass_stars,mass_total,mass_gas,posx,posy,posz,metallicity_stars,metallicity_gas,m_gas_sfr_weighted
525,71893,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71893,0.000148589,0.00165,0.036345,0.034203,24858.8,19477.9,19477.9,0.00528332,0.00645309,0.00553774
526,71898,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/71898,0.0710959,0.000556,0.022642,0.022086,24754.7,19431.5,19431.5,0.00402789,0.0045327,0.00453843
527,72133,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/72133,0.090992,3.16107,229.634,15.5111,31466.0,12971.5,12971.5,0.0266365,0.0139904,0.00330133
528,72134,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/72134,0.0312372,0.066298,5.73822,0.493462,31068.4,12883.6,12883.6,0.00982585,0.0124689,0.0209139
529,72135,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/72135,0.161334,0.042255,5.34085,0.592125,31239.2,12813.6,12813.6,0.00930957,0.00724812,0.00813295
530,72136,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/72136,0.0229135,0.013171,1.18957,0.105779,31409.1,12917.4,12917.4,0.00741574,0.0111995,0.0142614
531,72138,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/72138,0.0256432,0.008417,1.08952,0.086215,31667.4,13024.2,13024.2,0.00455636,0.00545131,0.0110892
532,72140,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/72140,0.00183607,0.007072,1.06839,0.036924,31539.3,12882.0,12882.0,0.00589012,0.00573752,0.0058665
533,72141,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/72141,0.0020971,0.00891,1.09934,0.021686,31302.5,13007.7,13007.7,0.00484054,0.00487466,0.00603211
534,72145,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/72145,0.00268132,0.000598,0.603554,0.025105,31490.3,12931.8,12931.8,0.0012232,0.0014163,0.00204507
535,72146,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/72146,0.764862,0.033513,0.123344,0.089831,31424.6,12958.1,12958.1,0.009539,0.0149836,0.0160212
536,72148,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/72148,0.152203,0.000987,0.102231,0.101244,31465.7,12982.2,12982.2,0.00353817,0.00362087,0.00358437
537,72149,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/72149,0.802647,0.027521,0.090203,0.062683,31438.6,12973.7,12973.7,0.0126468,0.0192293,0.0206868
538,72150,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/72150,0.0359291,0.000864,0.101251,0.100387,31511.3,12968.4,12968.4,0.00177741,0.00206878,0.00210815
539,72158,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/72158,0.00659457,0.000381,0.051367,0.050986,31583.3,12961.4,12961.4,0.00107557,0.00133583,0.00140939
540,72159,http://www.tng-project.org/api/TNG50-2/snapshots/z=0/subhalos/72159,0.0441009,0.004072,0.048111,0.04404,31431.1,12962.6,12962.6,0.00680394,0.00916556,0.0103617
