,Unnamed: 0,id,slope,AIC,mass,sfr,url
4036,4036,260059,-0.0011889911499879738,1.0,9.186905809960075,0.00929165,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/260059/
4043,4043,260242,-0.0010575464363582596,1.0,9.267441954241665,0.0793533,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/260242/
4045,4045,260245,-0.00013565183203709632,1.0,8.897159390245019,0.0022906,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/260245/
4046,4046,260246,-0.001060173807352365,2.0,8.684326327496338,0.038467900000000006,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/260246/
4054,4054,260543,-0.001128858452270574,1.0,9.620488297302972,0.0567029,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/260543/
4055,4055,260544,-7.549031685217687e-05,2.0,9.052787856657087,0.034102600000000004,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/260544/
4057,4057,260549,-3.1420529780083274e-05,1.0,8.647259349265449,0.0038238,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/260549/
4059,4059,260728,-0.001735705840867574,2.0,9.985834821816134,0.358041,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/260728/
4063,4063,260855,-0.0012475554232791453,2.0,9.976378547494619,0.41554399999999997,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/260855/
4066,4066,260858,-0.0004339633836377059,1.0,8.80299679783915,0.031237900000000002,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/260858/
4074,4074,261105,5.955910472107416e-05,1.0,9.16506189956108,0.0344325,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/261105/
4076,4076,261352,-0.0014577198147661685,1.0,9.519877576033522,0.074528,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/261352/
4083,4083,261501,-0.00047810817978053436,2.0,9.432944686321964,0.0904375,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/261501/
4084,4084,261502,-0.0006098153046163728,1.0,9.293110927995457,0.027039799999999996,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/261502/
4085,4085,261506,-0.0007343301053946804,1.0,8.623496509046436,0.00816846,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/261506/
4086,4086,261510,-8.772275262773396e-05,1.0,8.579375112556471,0.00110318,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/261510/
4091,4091,261829,-0.0002893463025912023,1.0,8.611367960414206,0.00644832,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/261829/
4093,4093,261917,0.00012398736211908753,1.0,9.306904415384787,0.23541199999999998,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/261917/
4098,4098,262068,-0.00038724649767153544,2.0,9.134525864655977,0.0063880000000000004,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/262068/
4102,4102,262318,-0.0010762844120859002,2.0,9.31251628024576,0.0714159,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/262318/
4105,4105,262436,-0.001439772437509082,2.0,9.362421363730807,0.0373714,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/262436/
4109,4109,262614,0.0004149551583520856,1.0,8.752149426615269,0.00582273,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/262614/
4112,4112,262672,-0.0007756646050436436,2.0,9.43433832258979,0.0758865,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/262672/
4113,4113,262673,-0.00023253884894305015,1.0,9.24475650863594,0.020137799999999997,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/262673/
4119,4119,262851,-0.00041713857346522003,1.0,8.777862650650858,0.022741,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/262851/
4122,4122,263038,-0.00015718998278929785,2.0,8.554653834843446,0.00480998,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/263038/
4131,4131,263331,-0.001603585274625873,1.0,9.348413523554491,0.045040199999999996,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/263331/
4132,4132,263332,5.404966987351928e-05,1.0,9.179925277795158,0.00849312,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/263332/
4133,4133,263333,-0.001268837668159406,2.0,9.237548487151694,0.0214784,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/263333/
4134,4134,263335,-0.00045965573510459796,1.0,8.783408538420044,0.00603371,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/263335/
4135,4135,263338,-0.0004679626491237549,2.0,8.597969679717544,0.0106314,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/263338/
4139,4139,263533,-0.002229088975115916,2.0,9.457889045048075,0.0503245,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/263533/
4140,4140,263534,9.425948218222372e-05,1.0,9.113869370656332,0.0527391,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/263534/
4143,4143,263709,-0.00041340969209171824,2.0,9.276307093772743,0.0186009,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/263709/
4149,4149,264021,-0.0018642204012357944,1.0,9.610249526702496,0.594173,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/264021/
4153,4153,264028,-0.0013191568281986533,1.0,8.428438023881352,0.0436,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/264028/
4161,4161,264490,-0.00034827462703745574,2.0,9.521254319369787,0.036795,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/264490/
4174,4174,265321,-0.0004570713197034658,2.0,9.520705692057273,0.343552,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/265321/
4176,4176,265323,-0.0002094442924742126,1.0,8.710571784883248,0.0124057,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/265323/
4180,4180,265437,-0.0003860509533692508,2.0,9.398383437047247,0.031359,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/265437/
4183,4183,265442,-0.00042349101285880616,1.0,8.903954637280236,0.00621583,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/265442/
4192,4192,265837,-0.0003769142275714267,2.0,9.31379127527988,0.0159755,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/265837/
4193,4193,265839,-0.0015340051951140627,1.0,9.051383264230141,0.034925599999999994,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/265839/
4195,4195,265842,-9.253285411096364e-05,2.0,8.701093322676135,0.0288589,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/265842/
4196,4196,265843,-0.0001881664455247936,1.0,8.549546967748416,0.00130195,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/265843/
4201,4201,266014,-0.0009918272530362962,1.0,9.477569806788061,0.117497,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/266014/
4203,4203,266018,-0.00020826997669043493,1.0,8.938761038210243,0.0385985,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/266018/
4204,4204,266021,-4.390994405173164e-05,1.0,8.830010803179468,0.00209013,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/266021/
4215,4215,266589,-0.00020316714780942922,1.0,8.552916332175554,0.00389755,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/266589/
4223,4223,267122,-0.00034004759768439813,2.0,9.343621666577409,0.0188568,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/267122/
4225,4225,267310,-0.0023604607754072796,1.0,9.622520550534935,0.0719308,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/267310/
4227,4227,267465,-0.0014190000217899623,2.0,9.882870419962288,0.773255,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/267465/
4228,4228,267466,-0.001414833492318368,2.0,9.387769077436484,0.776275,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/267466/
4233,4233,267725,-0.0034116300787391655,1.0,9.809162933810944,1.2678399999999999,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/267725/
4236,4236,267799,-0.002289484431841109,1.0,9.572777995494649,0.207116,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/267799/
4237,4237,267800,-0.003298913643700849,1.0,9.630287016054522,0.09711739999999999,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/267800/
4241,4241,267928,-0.0010403368867925534,1.0,9.77179094261332,0.146857,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/267928/
4244,4244,267933,-0.00027888708917743303,1.0,9.022506175324114,0.0108223,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/267933/
4245,4245,267934,-0.0003373772966727126,1.0,8.920179728832021,0.00238228,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/267934/
4246,4246,267938,0.00015110904859108804,1.0,8.596997813396923,0.00719126,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/267938/
4256,4256,268277,-0.0003626231370238986,1.0,8.24681335677552,0.00339884,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/268277/
4260,4260,268599,-0.0013099091957727784,2.0,10.053366001081992,2.3456900000000003,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/268599/
4261,4261,268601,-0.0008402523652546642,1.0,8.93648880933058,0.00996375,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/268601/
4266,4266,269001,-0.00016048687375868625,1.0,9.304726304220447,0.030620599999999994,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/269001/
4267,4267,269002,-0.0007160431723671453,2.0,9.169319808246392,0.0148019,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/269002/
4271,4271,269207,-0.00023369837079162037,2.0,9.197494212128012,0.0112665,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/269207/
4273,4273,269212,4.1202938099133425e-05,2.0,8.62054206135389,0.010831100000000001,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/269212/
4278,4278,269300,-0.000976850099955478,2.0,9.132295431901653,0.08690139999999999,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/269300/
4279,4279,269301,-0.00034277408962807087,1.0,9.061221570099676,0.017644999999999997,http://www.tng-project.org/api/TNG50-1/snapshots/33/subhalos/269301/
