,id,mass,sfr,url
7216,813803,10.458779429773811,0.0459888,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813803/
7217,813852,10.488818738379532,0.0124263,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813852/
7218,813916,10.45106724259508,0.020633,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813916/
7219,813932,10.505037767878262,0.0151778,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813932/
7220,813951,10.445543074298204,0.0326377,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813951/
7221,813975,10.47966969347774,0.0209785,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813975/
7222,813990,10.515090894167622,0.0318702,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813990/
7223,813995,10.515094810470416,0.018376,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/813995/
7224,814011,10.459676891481044,0.0190905,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814011/
7225,814019,10.452820057811376,0.0130102,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814019/
7226,814099,10.439535473440532,0.0262,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814099/
7227,814135,10.400328650967243,0.0312005,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814135/
7228,814143,10.444420080798396,0.0274958,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814143/
7229,814156,10.490353345784088,0.0178606,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814156/
7230,814237,10.453034710007406,0.0124212,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814237/
7231,814277,10.458319960341278,0.0175902,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814277/
7232,814300,10.504558543566677,0.0107822,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814300/
7233,814329,10.46656949585965,0.0138259,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814329/
7234,814351,10.50064284045192,0.0109143,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814351/
7235,814458,10.426535752887073,0.0246351,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814458/
7236,814480,10.482973536163692,0.0170651,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814480/
7237,814499,10.467619245851136,0.0378969,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814499/
7238,814520,10.471851463533486,0.0293794,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814520/
7239,814534,10.503976347001215,0.0139737,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814534/
7240,814547,10.443855186047362,0.0108121,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814547/
7241,814656,10.491456817306409,0.0178532,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814656/
7242,814727,10.46590991830875,0.0165322,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814727/
7243,814742,10.41016805384477,0.0219395,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814742/
7244,814757,10.408128756877433,0.0213162,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814757/
7245,814771,10.440045499917517,0.0169533,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814771/
7246,814789,10.432970710325288,0.0161834,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814789/
7247,814800,10.468103898397413,0.0173112,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814800/
7248,814825,10.444546792980534,0.0153894,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814825/
7249,814844,10.48118822203043,0.0357118,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814844/
7250,814853,10.429211878039954,0.0144376,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814853/
7251,814878,10.480253555403895,0.0215146,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/814878/
