,Unnamed: 0,id,slope,AIC,met,mass,sfr,url
2694,2694,549525,-0.0002958458026250157,2.0,0.01947935484349728,8.483506649467051,0.0916753,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/549525/
2695,2695,549526,-0.0005386640759029637,1.0,0.01700765639543533,8.38526790500657,0.0626168,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/549526/
2699,2699,549749,0.0006532219421943732,1.0,0.016405966132879257,8.947913645137922,0.45647600000000005,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/549749/
2700,2700,549751,-0.00040366157491857833,2.0,0.023700106889009483,8.742246984754766,0.224519,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/549751/
2701,2701,549752,0.001292772986448112,1.0,0.017834730446338654,8.74151517442153,0.22958299999999998,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/549752/
2703,2703,549755,0.0004867685119154698,1.0,0.01327271107584238,8.577835629501855,0.129413,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/549755/
2704,2704,549757,-0.00041689136154711334,1.0,0.011953980661928655,8.53018343350506,0.09597330000000001,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/549757/
2705,2705,549763,9.644855102217108e-05,1.0,0.0058314502239227295,8.307394331156576,0.00640928,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/549763/
2712,2712,550936,0.00048451157979054226,1.0,0.017347367480397224,8.743047078944276,0.24151199999999998,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/550936/
2728,2728,551978,-0.0015781946171466164,2.0,0.009217659942805769,9.442519576838425,0.140355,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/551978/
2729,2729,551980,-0.000646677597393784,1.0,0.017957841977477074,8.636274334707366,0.165898,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/551980/
2735,2735,552883,-0.0016928362798433625,2.0,0.02829708717763424,8.81659646228443,0.287064,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/552883/
2736,2736,552887,-0.00035408407873419257,2.0,0.024677637964487083,8.489882534335562,0.0878696,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/552887/
2739,2739,553235,0.00010275021738764742,1.0,0.014090423472225666,8.481903228620949,0.08396870000000001,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/553235/
2740,2740,553241,0.00013364965892677128,1.0,0.01658753678202629,8.294961265830915,0.0437737,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/553241/
2745,2745,553493,-0.003826590616102457,1.0,0.024856524541974068,9.589473692479977,0.06872669999999999,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/553493/
2747,2747,553497,-0.0012514008086588616,1.0,0.013416483998298643,8.684419152380991,0.135115,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/553497/
2748,2748,553500,-0.0002643062353094173,1.0,0.0061999037861824036,8.414124267827589,0.034104199999999994,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/553500/
2756,2756,554195,-0.00038490779976488006,1.0,0.011950385756790638,8.44609889340437,0.108029,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/554195/
2757,2757,554197,-2.4749502661572586e-05,2.0,0.020392732694745064,8.381528878892047,0.08372589999999999,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/554197/
2760,2760,554528,0.00016949450254765352,1.0,0.03530004993081093,8.677576781333858,0.0214571,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/554528/
2763,2763,555016,-0.007092612524882125,1.0,0.06872975081205368,8.889834952033533,0.060797500000000004,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/555016/
2764,2764,555025,-0.0006277214541725344,1.0,0.010836602188646792,8.317849986976452,0.015816,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/555025/
2765,2765,555029,0.00016857573165325436,1.0,0.00935683399438858,8.191046681610498,0.00341359,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/555029/
2766,2766,555031,8.397519502775959e-05,1.0,0.0061169913969933995,8.070067875429059,0.00381828,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/555031/
2769,2769,555292,5.9510119380794046e-05,1.0,0.020516760647296902,8.721944657884169,0.186462,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/555292/
2771,2771,555602,-0.020249974268212963,2.0,0.06137499958276749,8.963336021151056,0.242535,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/555602/
2772,2772,555603,-1.9333914659247494e-05,1.0,0.017760735005140305,9.058439698473011,0.542011,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/555603/
2773,2773,555604,-0.0007870978996504554,1.0,0.01832750253379345,8.71767934594252,0.13053299999999998,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/555604/
2774,2774,555605,0.0006910110726717241,1.0,0.01463067997246981,8.625080248875026,0.134721,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/555605/
2775,2775,555606,-0.00045554227104704746,1.0,0.035305943340063095,8.530542628003985,0.0888027,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/555606/
2776,2776,555607,-0.0008968774826341105,1.0,0.025970147922635082,8.54037048973375,0.09370880000000001,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/555607/
2777,2777,555608,0.00028937490410258664,1.0,0.015928423032164574,8.546114796801454,0.134853,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/555608/
2778,2778,555609,-0.0007157533384712825,2.0,0.03021793626248836,8.432435721988009,0.0543175,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/555609/
2779,2779,555610,-2.6339924342215508e-05,1.0,0.021863464266061783,8.3617501352606,0.0917544,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/555610/
2780,2780,555613,0.00037828154787893727,1.0,0.01245583314448595,8.223231364981897,0.034999300000000004,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/555613/
2783,2783,555822,0.00020085433460524167,1.0,0.008644074201583862,8.52097043330828,0.00128525,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/555822/
2784,2784,555827,-4.56132913530022e-05,2.0,0.00567608792334795,8.225564128341306,0.000643922,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/555827/
2804,2804,558069,-0.005771486005946706,1.0,0.033903155475854874,9.479535825436981,1.09136,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/558069/
2814,2814,559039,-0.0003353648081921163,2.0,0.01561229396611452,8.775568421194908,0.162949,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/559039/
2815,2815,559041,-0.0006112672321344889,1.0,0.02126702107489109,8.690358292266254,0.15893800000000002,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/559041/
2824,2824,560083,-0.005320238803735853,1.0,0.0320919007062912,9.604781016457936,0.053527099999999994,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/560083/
2833,2833,561009,-0.00013123346140978063,1.0,0.013705849647521973,8.550125400507731,0.09355989999999999,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/561009/
2834,2834,561010,0.0003553526189650741,1.0,0.016439460217952732,8.459011210400645,0.0802573,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/561010/
2836,2836,561326,0.00035642527254274006,1.0,0.014451631344854832,8.798513430271731,0.19656600000000002,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/561326/
2837,2837,561327,-0.001383148106422491,2.0,0.028923710808157917,8.728834056545178,0.207758,http://www.tng-project.org/api/TNG50-1/snapshots/99/subhalos/561327/
